# number of requirements
25
# number of tasks
2 2 5 4 3 4 2 4 4 2 2 3 2 2 4 1 2 1 4 4 5 4 3 3 4
# requirement 0
2.6 2.3 6.0
3.6 7.8 7.0
# requirement 1
3.8 9.5 3.0
8.2 1.5 10.0
# requirement 2
8.4 2.0 1.0
6.3 8.7 10.0
6.9 3.1 2.0
4.5 9.5 7.0
1.5 2.6 9.0
# requirement 3
4.7 6.2 10.0
5.7 5.0 7.0
9.6 9.3 2.0
8.8 8.3 9.0
# requirement 4
4.2 5.5 1.0
4.0 2.9 1.0
10.0 6.0 10.0
# requirement 5
2.5 5.1 4.0
6.7 8.2 4.0
3.3 1.6 10.0
5.0 9.3 10.0
# requirement 6
3.3 3.6 5.0
1.7 1.8 10.0
# requirement 7
3.6 2.5 4.0
10.0 1.1 9.0
1.7 8.2 9.0
5.9 8.5 8.0
# requirement 8
5.0 2.2 9.0
1.9 7.2 8.0
5.7 4.1 1.0
4.3 2.1 2.0
# requirement 9
4.1 8.0 3.0
5.2 5.7 10.0
# requirement 10
2.8 4.7 9.0
7.4 7.5 5.0
# requirement 11
2.7 7.0 6.0
3.7 4.9 1.0
9.7 4.2 5.0
# requirement 12
9.6 5.1 1.0
6.4 9.6 8.0
# requirement 13
6.4 6.9 5.0
8.0 9.2 10.0
# requirement 14
5.3 9.0 2.0
6.9 5.0 3.0
5.6 6.9 1.0
1.2 8.9 10.0
# requirement 15
3.4 4.9 10.0
# requirement 16
6.3 1.5 1.0
1.0 1.2 7.0
# requirement 17
5.2 4.1 9.0
# requirement 18
3.6 7.1 10.0
9.3 5.9 6.0
2.2 5.7 5.0
4.8 8.1 6.0
# requirement 19
2.7 5.3 7.0
4.5 6.7 3.0
9.8 4.2 5.0
5.5 7.7 10.0
# requirement 20
2.0 1.6 4.0
5.0 3.9 3.0
5.4 5.5 3.0
2.6 9.4 7.0
1.6 1.5 5.0
# requirement 21
8.8 2.0 2.0
9.7 6.7 1.0
9.0 9.1 3.0
7.5 5.4 8.0
# requirement 22
1.1 9.5 10.0
6.3 1.7 4.0
3.9 8.7 2.0
# requirement 23
8.7 4.1 1.0
7.2 6.2 8.0
7.2 7.4 8.0
# requirement 24
1.6 8.9 5.0
8.6 5.5 1.0
8.0 1.7 5.0
7.9 7.2 6.0
