# number of requirements
100
# number of tasks
4 1 5 2 1 5 4 5 1 2 2 1 3 1 5 2 2 5 4 5 1 4 3 2 3 3 3 1 3 4 1 1 1 5 5 4 2 3 3 4 3 1 1 2 1 5 4 2 4 1 3 5 4 4 1 4 4 4 4 5 4 2 5 2 5 3 3 2 4 3 3 4 5 1 1 4 2 1 5 5 1 3 3 1 2 3 3 5 1 5 4 3 5 1 1 3 2 3 4 3
# requirement 0
7.3 5.3 6.0
6.6 2.0 5.0
6.3 7.8 6.0
10.0 1.8 4.0
# requirement 1
4.7 9.7 2.0
# requirement 2
1.9 2.8 6.0
7.3 5.3 9.0
4.3 9.5 4.0
1.4 7.6 1.0
1.4 5.7 9.0
# requirement 3
8.5 9.4 2.0
2.1 4.3 7.0
# requirement 4
6.5 9.4 8.0
# requirement 5
1.2 4.8 2.0
4.6 4.1 9.0
1.9 4.7 2.0
3.5 8.6 5.0
7.5 9.6 8.0
# requirement 6
5.3 6.5 6.0
1.1 8.3 6.0
5.4 8.0 8.0
8.2 1.1 9.0
# requirement 7
9.3 9.2 8.0
8.0 6.8 7.0
1.1 5.4 1.0
1.4 4.4 9.0
2.2 8.3 5.0
# requirement 8
8.7 5.8 1.0
# requirement 9
5.4 3.1 8.0
3.7 9.6 3.0
# requirement 10
8.4 5.0 7.0
4.1 9.5 2.0
# requirement 11
1.3 1.7 10.0
# requirement 12
1.8 5.0 5.0
1.9 7.4 7.0
2.8 7.9 5.0
# requirement 13
2.4 1.4 7.0
# requirement 14
8.3 7.0 10.0
8.5 6.6 10.0
6.4 5.3 7.0
1.2 6.2 7.0
8.7 8.7 8.0
# requirement 15
9.8 3.0 5.0
5.6 8.1 5.0
# requirement 16
9.8 2.3 6.0
8.0 8.6 7.0
# requirement 17
2.6 5.5 1.0
7.1 9.2 6.0
9.5 5.2 10.0
4.8 5.6 2.0
2.8 8.0 3.0
# requirement 18
6.4 2.2 2.0
7.0 3.3 7.0
5.3 2.7 9.0
1.4 7.6 1.0
# requirement 19
3.0 5.8 2.0
9.9 5.8 5.0
1.0 3.1 7.0
1.1 4.1 4.0
1.0 1.7 6.0
# requirement 20
4.6 6.3 9.0
# requirement 21
4.0 4.6 2.0
4.2 8.4 8.0
7.8 8.3 2.0
7.1 1.5 1.0
# requirement 22
5.5 6.8 10.0
7.3 6.7 7.0
4.7 2.6 7.0
# requirement 23
9.1 7.1 1.0
6.9 3.7 1.0
# requirement 24
4.9 6.2 8.0
6.0 9.4 2.0
6.7 4.9 7.0
# requirement 25
1.4 1.2 9.0
2.4 6.6 5.0
3.3 1.9 9.0
# requirement 26
2.6 7.4 10.0
